month,year,icp_price,lag_1,lag_3,lag_6,rolling_mean_3
7,2019,61.32,61.0,68.31,56.55,65.79333333333334
8,2019,57.27,61.32,68.07,61.31,63.46333333333334
9,2019,60.84,57.27,61.0,63.6,59.863333333333344
10,2019,59.82,60.84,61.32,68.31,59.81
11,2019,63.26,59.82,57.27,68.07,59.31000000000001
12,2019,67.18,63.26,60.84,61.0,61.30666666666667
1,2020,65.38,67.18,59.82,61.32,63.42000000000001
2,2020,56.61,65.38,63.26,57.27,65.27333333333334
3,2020,34.23,56.61,67.18,60.84,63.05666666666667
4,2020,20.66,34.23,65.38,59.82,52.07333333333333
5,2020,25.67,20.66,56.61,63.26,37.16666666666667
6,2020,36.68,25.67,34.23,67.18,26.85333333333334
7,2020,40.64,36.68,20.66,65.38,27.670000000000005
8,2020,41.63,40.64,25.67,56.61,34.330000000000005
9,2020,37.43,41.63,36.68,34.23,39.650000000000006
11,2020,40.67,37.43,40.64,20.66,39.900000000000006
12,2020,47.78,40.67,41.63,25.67,39.910000000000004
1,2021,53.17,47.78,37.43,36.68,41.96000000000001
2,2021,60.36,53.17,40.67,40.64,47.20666666666667
3,2021,63.5,60.36,47.78,41.63,53.77
4,2021,61.96,63.5,53.17,37.43,59.01
5,2021,65.49,61.96,60.36,40.67,61.94
6,2021,70.23,65.49,63.5,47.78,63.65
7,2021,72.17,70.23,61.96,53.17,65.89333333333333
8,2021,67.8,72.17,65.49,60.36,69.29666666666667
9,2021,72.2,67.8,70.23,63.5,70.06666666666668
10,2021,76.16,72.2,72.17,61.96,70.72333333333334
11,2021,80.13,76.16,67.8,65.49,72.05333333333334
12,2021,73.36,80.13,72.2,70.23,76.16333333333334
1,2022,84.54,73.36,76.16,72.17,76.55
2,2022,95.72,84.54,80.13,67.8,79.34333333333335
3,2022,99.12,95.72,73.36,72.2,84.54
4,2022,102.51,99.12,84.54,76.16,93.12666666666667
5,2022,109.61,102.51,95.72,80.13,99.11666666666667
6,2022,117.62,109.61,99.12,73.36,103.74666666666667
7,2022,106.73,117.62,102.51,84.54,109.91333333333334
8,2022,94.17,106.73,109.61,95.72,111.32000000000001
9,2022,86.07,94.17,117.62,99.12,106.17333333333335
10,2022,89.1,86.07,106.73,102.51,95.65666666666668
11,2022,87.5,89.1,94.17,109.61,89.77999999999999
12,2022,76.66,87.5,86.07,117.62,87.55666666666667
1,2023,78.54,76.66,89.1,106.73,84.42
2,2023,79.48,78.54,87.5,94.17,80.9
3,2023,74.59,79.48,76.66,86.07,78.22666666666667
4,2023,79.34,74.59,78.54,89.1,77.53666666666668
7,2023,80.96,79.34,79.48,87.5,77.80333333333334
8,2023,82.59,80.96,74.59,76.66,78.29666666666667
9,2023,90.17,82.59,79.34,78.54,80.96333333333334
10,2023,86.72,90.17,80.96,79.48,84.57333333333334
11,2023,79.63,86.72,82.59,74.59,86.49333333333334
12,2023,75.51,79.63,90.17,79.34,85.50666666666666
1,2024,77.12,75.51,86.72,80.96,80.62
2,2024,80.09,77.12,79.63,82.59,77.42
3,2024,83.78,80.09,75.51,90.17,77.57333333333334
4,2024,87.61,83.78,77.12,86.72,80.33000000000001
5,2024,79.78,87.61,80.09,79.63,83.82666666666667
6,2024,79.31,79.78,83.78,75.51,83.72333333333334
12,2024,71.61,79.31,87.61,77.12,82.23333333333333
1,2025,76.81,71.61,79.78,80.09,76.9
2,2025,74.29,76.81,79.31,83.78,75.91000000000001
3,2025,71.11,74.29,71.61,87.61,74.23666666666668
4,2025,65.29,71.11,76.81,79.78,74.07000000000001
5,2025,62.75,65.29,74.29,79.31,70.23000000000002
6,2025,69.33,62.75,71.11,71.61,66.38333333333334
7,2025,68.59,69.33,65.29,76.81,65.79
8,2025,66.07,68.59,62.75,74.29,66.89
9,2025,66.81,66.07,69.33,71.11,67.99666666666667
10,2025,63.62,66.81,68.59,65.29,67.15666666666668
11,2025,62.83,63.62,66.07,62.75,65.5
12,2025,61.1,62.83,66.81,69.33,64.42
1,2026,64.41,61.1,63.62,68.59,62.51666666666667
2,2026,68.79,64.41,62.83,66.07,62.78
3,2026,102.26,68.79,61.1,66.81,64.76666666666667
