month,year,icp_price
1,2019,56.55
2,2019,61.31
3,2019,63.6
4,2019,68.31
5,2019,68.07
6,2019,61.0
7,2019,61.32
8,2019,57.27
9,2019,60.84
10,2019,59.82
11,2019,63.26
12,2019,67.18
1,2020,65.38
2,2020,56.61
3,2020,34.23
4,2020,20.66
5,2020,25.67
6,2020,36.68
7,2020,40.64
8,2020,41.63
9,2020,37.43
11,2020,40.67
12,2020,47.78
1,2021,53.17
2,2021,60.36
3,2021,63.5
4,2021,61.96
5,2021,65.49
6,2021,70.23
7,2021,72.17
8,2021,67.8
9,2021,72.2
10,2021,76.16
11,2021,80.13
12,2021,73.36
1,2022,84.54
2,2022,95.72
3,2022,99.12
4,2022,102.51
5,2022,109.61
6,2022,117.62
7,2022,106.73
8,2022,94.17
9,2022,86.07
10,2022,89.1
11,2022,87.5
12,2022,76.66
